Source;Relation;Target
adverstingColumnArmiiKrajowej;hasDirectNeighbor;lawnArmiiKrajowej
atmSiedlce3Maja;hasDirectNeighbor;schoolSiedlceUniversityOfNaturalSciencesAndHumanitiesFacultyOfSciences
atmSiedlceArmiiKrajowej;hasDirectNeighbor;shopBiedronkaSiedlceArmiiKrajowej
atmSiedlceSienkiewicza;hasDirectNeighbor;shopRossmannSiedlceSienkiewicza
bikePath3MajaR;hasDirectNeighbor;pavement3MajaR
bikePath3MajaR;hasDirectNeighbor;street3Maja
informationSign3Maja3;hasDirectNeighbor;bikePath3MajaR
lawn3Maja5;hasDirectNeighbor;bikePath3MajaR
lawn3Maja6;hasDirectNeighbor;bikePath3MajaR
lawn3Maja7;hasDirectNeighbor;bikePath3MajaR
lawn3Maja8;hasDirectNeighbor;bikePath3MajaR
parking3MajaTaniaOdzież;hasDirectNeighbor;bikePath3MajaR
blockOfFlatsKazimierzaPułaskiego1;hasDirectNeighbor;parkingKazimierzaPułaskiego1
blockOfFlatsKazimierzaPułaskiego1;hasDirectNeighbor;pavementKazmierzaPułaskiegoR
blockOfFlatsKazimierzaPułaskiego2;hasDirectNeighbor;parkingKazimierzaPułaskiego2
blockOfFlatsKazimierzaPułaskiego2;hasDirectNeighbor;pavementKazmierzaPułaskiegoR
blockOfFlatsKazimierzaPułaskiego3;hasDirectNeighbor;parkingKazimierzaPułaskiego4
blockOfFlatsKazimierzaPułaskiego3;hasDirectNeighbor;pavementKazmierzaPułaskiegoL
blockOfFlatsKazimierzaPułaskiego4;hasDirectNeighbor;parkingKazimierzaPułaskiego4
blockOfFlatsKazimierzaPułaskiego4;hasDirectNeighbor;pavementKazmierzaPułaskiegoL
bollardHenrykaSienkiewicza9;hasDirectNeighbor;pavementHenrykaSienkiewiczaR
bollardKazimierzaPułaskiego3;hasDirectNeighbor;streetKazmierzaPułaskiego
busDepotSiedlcePKS;hasDirectNeighbor;streetŚwiętojańska
fenceArmiiKrajowej2;hasDirectNeighbor;busDepotSiedlcePKS
busStop01SiedlceArmiiKrajowejSienkiewicza;hasDirectNeighbor;streetArmiiKrajowej
streetLightArmiiKrajowej2;hasDirectNeighbor;busStop01SiedlceArmiiKrajowejSienkiewicza
streetLightArmiiKrajowej3;hasDirectNeighbor;busStop01SiedlceArmiiKrajowejSienkiewicza
trashCanArmiiKrajowej1;hasDirectNeighbor;busStop01SiedlceArmiiKrajowejSienkiewicza
chargingStationKazimierzaPułaskiego;hasDirectNeighbor;parkingKazimierzaPułaskiego3
cityHallUrządMiastaSkwerNiepodległości;hasDirectNeighbor;pavementSkwerNiepodległości
clinicDerek-DentalSiedlceKazimierzaPułaskiego;hasDirectNeighbor;pavementKazmierzaPułaskiegoR
concertHallPodlasieSiedlceHenrykaSienkiewicza;hasDirectNeighbor;pavementHenrykaSienkiewiczaR
concertHallPodlasieSiedlceHenrykaSienkiewicza;hasDirectNeighbor;pavementŚwiętojańskaL
parkingHenrykaSienkiewicza;hasDirectNeighbor;concertHallPodlasieSiedlceHenrykaSienkiewicza
stairsPodlasie1;hasDirectNeighbor;concertHallPodlasieSiedlceHenrykaSienkiewicza
stairsPodlasie2;hasDirectNeighbor;concertHallPodlasieSiedlceHenrykaSienkiewicza
fenceArmiiKrajowej1;hasDirectNeighbor;pavementArmiiKrajowejL
fenceArmiiKrajowej2;hasDirectNeighbor;busDepotSiedlcePKS
fenceArmiiKrajowej2;hasDirectNeighbor;pavementArmiiKrajowejL
fenceŚwiętojańska1;hasDirectNeighbor;pavementŚwiętojańskaL
informationSign3Maja1;hasDirectNeighbor;pavement3MajaL
informationSign3Maja1;hasDirectNeighbor;street3Maja
informationSign3Maja3;hasDirectNeighbor;bikePath3MajaR
informationSign3Maja3;hasDirectNeighbor;street3Maja
informationSignArmiiKrajowej1;hasDirectNeighbor;streetArmiiKrajowej
informationSignArmiiKrajowej10;hasDirectNeighbor;pavementKazmierzaPułaskiegoR
informationSignArmiiKrajowej10;hasDirectNeighbor;streetArmiiKrajowej
informationSignArmiiKrajowej10;hasDirectNeighbor;streetKazmierzaPułaskiego
informationSignArmiiKrajowej11;hasDirectNeighbor;pavementArmiiKrajowejR
informationSignArmiiKrajowej11;hasDirectNeighbor;streetArmiiKrajowej
informationSignArmiiKrajowej12;hasDirectNeighbor;pavementArmiiKrajowejR
informationSignArmiiKrajowej12;hasDirectNeighbor;streetArmiiKrajowej
informationSignArmiiKrajowej13;hasDirectNeighbor;pavementArmiiKrajowejR
informationSignArmiiKrajowej13;hasDirectNeighbor;streetArmiiKrajowej
informationSignArmiiKrajowej14;hasDirectNeighbor;pavementArmiiKrajowejR
informationSignArmiiKrajowej14;hasDirectNeighbor;streetArmiiKrajowej
informationSignArmiiKrajowej15;hasDirectNeighbor;pavementArmiiKrajowejR
informationSignArmiiKrajowej15;hasDirectNeighbor;street3Maja
informationSignArmiiKrajowej2;hasDirectNeighbor;streetArmiiKrajowej
informationSignArmiiKrajowej3;hasDirectNeighbor;pavementHenrykaSienkiewiczaL
informationSignArmiiKrajowej3;hasDirectNeighbor;streetArmiiKrajowej
informationSignArmiiKrajowej4;hasDirectNeighbor;streetArmiiKrajowej
informationSignArmiiKrajowej7;hasDirectNeighbor;pavementArmiiKrajowejR
informationSignArmiiKrajowej7;hasDirectNeighbor;streetArmiiKrajowej
informationSignArmiiKrajowej8;hasDirectNeighbor;pavementArmiiKrajowejR
informationSignArmiiKrajowej8;hasDirectNeighbor;streetArmiiKrajowej
informationSignArmiiKrajowej9;hasDirectNeighbor;streetArmiiKrajowej
informationSignJózefaPiłsudskiego1;hasDirectNeighbor;pedestrainCrossingJózefaPiłsudskiego1
informationSignJózefaPiłsudskiego1;hasDirectNeighbor;streetJózefaPiłsudskiego
informationSignJózefaPiłsudskiego2;hasDirectNeighbor;pavementWojskowaR
informationSignJózefaPiłsudskiego2;hasDirectNeighbor;streetJózefaPiłsudskiego
informationSignJózefaPiłsudskiego2;hasDirectNeighbor;streetWojskowa
informationSignKazimierzaPułaskiego1;hasDirectNeighbor;streetKazmierzaPułaskiego
informationSignKazimierzaPułaskiego2;hasDirectNeighbor;parkingKazimierzaPułaskiego
informationSignKazimierzaPułaskiego3;hasDirectNeighbor;parkingKazimierzaPułaskiego
informationSignKazimierzaPułaskiego4;hasDirectNeighbor;parkingKazimierzaPułaskiego1
informationSignKazimierzaPułaskiego5;hasDirectNeighbor;parkingKazimierzaPułaskiego1
informationSignKazimierzaPułaskiego5;hasDirectNeighbor;streetKazmierzaPułaskiego
informationSignKazimierzaPułaskiego6;hasDirectNeighbor;streetKazmierzaPułaskiego
informationSignKazimierzaPułaskiego7;hasDirectNeighbor;streetKazmierzaPułaskiego
informationSignKazimierzaPułaskiego9;hasDirectNeighbor;streetKazmierzaPułaskiego
informationSignSkwerNiepodległości3;hasDirectNeighbor;parkingSkwerNiepodległości
informationSignSkwerNiepodległości4;hasDirectNeighbor;streetSkwerNiepodległości
informationSignWojskowa1;hasDirectNeighbor;streetWojskowa
parkingArmiiKrajowej;hasDirectNeighbor;informationSignArmiiKrajowej6
streetLightArmiiKrajowej1;hasDirectNeighbor;informationSignArmiiKrajowej1
adverstingColumnArmiiKrajowej;hasDirectNeighbor;lawnArmiiKrajowej
lawn3Maja1;hasDirectNeighbor;pavement3MajaL
lawn3Maja1;hasDirectNeighbor;street3Maja
lawn3Maja2;hasDirectNeighbor;pavement3MajaL
lawn3Maja2;hasDirectNeighbor;street3Maja
lawn3Maja3;hasDirectNeighbor;pavement3MajaL
lawn3Maja3;hasDirectNeighbor;street3Maja
lawn3Maja4;hasDirectNeighbor;pavement3MajaL
lawn3Maja4;hasDirectNeighbor;pavementŚwiętojańskaR
lawn3Maja4;hasDirectNeighbor;street3Maja
lawn3Maja4;hasDirectNeighbor;streetŚwiętojańska
lawn3Maja5;hasDirectNeighbor;bikePath3MajaR
lawn3Maja5;hasDirectNeighbor;parking3MajaTaniaOdzież
lawn3Maja5;hasDirectNeighbor;pavement3MajaR
lawn3Maja5;hasDirectNeighbor;street3Maja
lawn3Maja6;hasDirectNeighbor;bikePath3MajaR
lawn3Maja6;hasDirectNeighbor;pavement3MajaR
lawn3Maja6;hasDirectNeighbor;street3Maja
lawn3Maja7;hasDirectNeighbor;bikePath3MajaR
lawn3Maja7;hasDirectNeighbor;pavement3MajaR
lawn3Maja8;hasDirectNeighbor;bikePath3MajaR
lawn3Maja8;hasDirectNeighbor;pavement3MajaR
lawn3Maja8;hasDirectNeighbor;street3Maja
lawnArmiiKrajowej;hasDirectNeighbor;parkingArmiiKrajowej
lawnArmiiKrajowej;hasDirectNeighbor;pavement3MajaR
lawnArmiiKrajowej;hasDirectNeighbor;streetArmiiKrajowej
lawnArmiiKrajowej1;hasDirectNeighbor;pavementArmiiKrajowejR
lawnArmiiKrajowej1;hasDirectNeighbor;streetArmiiKrajowej
lawnArmiiKrajowej2;hasDirectNeighbor;pavementArmiiKrajowejR
lawnArmiiKrajowej2;hasDirectNeighbor;streetArmiiKrajowej
lawnArmiiKrajowej3;hasDirectNeighbor;pavementArmiiKrajowejR
lawnArmiiKrajowej3;hasDirectNeighbor;streetArmiiKrajowej
lawnArmiiKrajowej4;hasDirectNeighbor;pavementArmiiKrajowejL
lawnArmiiKrajowej4;hasDirectNeighbor;pavementJózefaPiłsudskiegoR
lawnArmiiKrajowej5;hasDirectNeighbor;pavementArmiiKrajowejL
lawnArmiiKrajowej5;hasDirectNeighbor;streetŚwiętojańska
lawnArmiiKrajowej6;hasDirectNeighbor;pavementArmiiKrajowejL
lawnArmiiKrajowej6;hasDirectNeighbor;streetŚwiętojańska
lawnArmiiKrajowej7;hasDirectNeighbor;pavementArmiiKrajowejL
lawnArmiiKrajowej7;hasDirectNeighbor;streetArmiiKrajowej
lawnArmiiKrajowej8;hasDirectNeighbor;pavementArmiiKrajowejL
lawnArmiiKrajowej8;hasDirectNeighbor;streetArmiiKrajowej
lawnKazimierzaPułaskiego1;hasDirectNeighbor;parkingKazimierzaPułaskiego1
lawnKazimierzaPułaskiego1;hasDirectNeighbor;pavementKazmierzaPułaskiegoR
lawnKazimierzaPułaskiego1;hasDirectNeighbor;streetKazmierzaPułaskiego
lawnKazimierzaPułaskiego2;hasDirectNeighbor;parkingKazimierzaPułaskiego1
lawnKazimierzaPułaskiego2;hasDirectNeighbor;pavementKazmierzaPułaskiegoR
lawnKazimierzaPułaskiego2;hasDirectNeighbor;streetKazmierzaPułaskiego
lawnKazimierzaPułaskiego3;hasDirectNeighbor;pavementKazmierzaPułaskiegoR
lawnKazimierzaPułaskiego3;hasDirectNeighbor;streetHenrykaWieniawskiego
lawnKazimierzaPułaskiego3;hasDirectNeighbor;streetKazmierzaPułaskiego
lawnKazimierzaPułaskiego4;hasDirectNeighbor;parkingKazimierzaPułaskiego2
lawnKazimierzaPułaskiego4;hasDirectNeighbor;pavementKazmierzaPułaskiegoR
lawnKazimierzaPułaskiego4;hasDirectNeighbor;streetKazmierzaPułaskiego
lawnKazimierzaPułaskiego5;hasDirectNeighbor;parkingKazimierzaPułaskiego2
lawnKazimierzaPułaskiego5;hasDirectNeighbor;pavementKazmierzaPułaskiegoR
lawnKazimierzaPułaskiego5;hasDirectNeighbor;streetKazmierzaPułaskiego
lawnKazimierzaPułaskiego6;hasDirectNeighbor;pavementKazmierzaPułaskiegoR
lawnKazimierzaPułaskiego6;hasDirectNeighbor;streetKazmierzaPułaskiego
lawnSkwerNiepodległości;hasDirectNeighbor;pavementKazmierzaPułaskiegoL
lawnSkwerNiepodległości;hasDirectNeighbor;streetSkwerNiepodległości
parkingArmiiKrajowej;hasDirectNeighbor;lawnArmiiKrajowej
parkingSkwerNiepodległości;hasDirectNeighbor;lawnSkwerNiepodległości
trashCanArmiiKrajowej3;hasDirectNeighbor;lawnArmiiKrajowej
blockOfFlatsKazimierzaPułaskiego1;hasDirectNeighbor;parkingKazimierzaPułaskiego1
blockOfFlatsKazimierzaPułaskiego2;hasDirectNeighbor;parkingKazimierzaPułaskiego2
blockOfFlatsKazimierzaPułaskiego3;hasDirectNeighbor;parkingKazimierzaPułaskiego4
blockOfFlatsKazimierzaPułaskiego4;hasDirectNeighbor;parkingKazimierzaPułaskiego4
chargingStationKazimierzaPułaskiego;hasDirectNeighbor;parkingKazimierzaPułaskiego3
informationSignKazimierzaPułaskiego2;hasDirectNeighbor;parkingKazimierzaPułaskiego
informationSignKazimierzaPułaskiego3;hasDirectNeighbor;parkingKazimierzaPułaskiego
informationSignKazimierzaPułaskiego4;hasDirectNeighbor;parkingKazimierzaPułaskiego1
informationSignKazimierzaPułaskiego5;hasDirectNeighbor;parkingKazimierzaPułaskiego1
informationSignSkwerNiepodległości3;hasDirectNeighbor;parkingSkwerNiepodległości
lawn3Maja5;hasDirectNeighbor;parking3MajaTaniaOdzież
lawnArmiiKrajowej;hasDirectNeighbor;parkingArmiiKrajowej
lawnKazimierzaPułaskiego1;hasDirectNeighbor;parkingKazimierzaPułaskiego1
lawnKazimierzaPułaskiego2;hasDirectNeighbor;parkingKazimierzaPułaskiego1
lawnKazimierzaPułaskiego4;hasDirectNeighbor;parkingKazimierzaPułaskiego2
lawnKazimierzaPułaskiego5;hasDirectNeighbor;parkingKazimierzaPułaskiego2
parking3MajaTaniaOdzież;hasDirectNeighbor;bikePath3MajaR
parking3MajaTaniaOdzież;hasDirectNeighbor;pavement3MajaR
parking3MajaTaniaOdzież;hasDirectNeighbor;street3Maja
parkingArmiiKrajowej;hasDirectNeighbor;informationSignArmiiKrajowej6
parkingArmiiKrajowej;hasDirectNeighbor;lawnArmiiKrajowej
parkingArmiiKrajowej;hasDirectNeighbor;pavementArmiiKrajowejR
parkingArmiiKrajowej;hasDirectNeighbor;streetArmiiKrajowej
parkingArmiiKrajowej;hasDirectNeighbor;streetLightArmiiKrajowej6
parkingHenrykaSienkiewicza;hasDirectNeighbor;concertHallPodlasieSiedlceHenrykaSienkiewicza
parkingHenrykaSienkiewicza;hasDirectNeighbor;pavementHenrykaSienkiewiczaR
parkingHenrykaSienkiewicza;hasDirectNeighbor;streetSienkiewicza
parkingKazimierzaPułaskiego;hasDirectNeighbor;pavementKazmierzaPułaskiegoR
parkingKazimierzaPułaskiego;hasDirectNeighbor;shopTopazSiedlceArmiiKrajowej
parkingKazimierzaPułaskiego;hasDirectNeighbor;streetKazmierzaPułaskiego
parkingKazimierzaPułaskiego1;hasDirectNeighbor;pavementKazmierzaPułaskiegoR
parkingKazimierzaPułaskiego1;hasDirectNeighbor;streetKazmierzaPułaskiego
parkingKazimierzaPułaskiego2;hasDirectNeighbor;pavementKazmierzaPułaskiegoR
parkingKazimierzaPułaskiego2;hasDirectNeighbor;streetKazmierzaPułaskiego
parkingKazimierzaPułaskiego3;hasDirectNeighbor;pavementKazmierzaPułaskiegoL
parkingKazimierzaPułaskiego3;hasDirectNeighbor;streetKazmierzaPułaskiego
parkingKazimierzaPułaskiego4;hasDirectNeighbor;pavementKazmierzaPułaskiegoL
parkingKazimierzaPułaskiego4;hasDirectNeighbor;streetKazmierzaPułaskiego
parkingPlacZdanowskiego;hasDirectNeighbor;pavementPlacZdanowskiego
parkingPlacZdanowskiego;hasDirectNeighbor;railwayStationSiedlcePKP
parkingPlacZdanowskiego;hasDirectNeighbor;streetZdanowskiego
